name,state,sector,ecosystem,sub_ecosystem,ceo_name,website,email,phone,facebook,instagram,linkedin,twitter,address
Central Bank of Nigeria (CBN),Abuja,Government,Policy and Regulation,Government,Godwin Emefiele,cbn.gov.ng,contactcbn@cbn.gov.ng,+234 700 225 5226,ttps://web.facebook.com/cenbankng/,,linkedin.com/in/central-bank-of-nigeria-68611917,twitter.com/cenbank,"Plot 33, Abubakar Tafawa Balewa Way"
Corporate Affairs Commission (CAC),Abuja,Government,Policy and Regulation,Government,ALHAJI GARBA ABUBAKAR,cac.gov.ng,cservice@cac.gov.ng,234 809 552 1924,https://web.facebook.com/cacnigeria1,,https://www.linkedin.com/company/corporate-affairs-commission/,https://twitter.com/cacnigeria,"Plot 420, Tigris Crescent, Off Aguiyi Ironsi Street"
Enabling Business Environment Secretariat (EBES),Abuja,Government,Policy and Regulation,Government,Dr. Jumoke Oduwole,https://easeofdoingbusinessnigeria.com,info@ebes.gov.ng,T +234 909 323 1541,http://facebook.com/EBESNigeria,http://instagram.com/EBESNigeria,https://www.linkedin.com/company/pebec-ebes-the-presidential-enabling-business-environment-council-nigeria/,https://twitter.com/EBESNigeria,"Plot No.1181, Aguiyi Ironsi Street"
Federal Inland Revenue Service (FIRS),Abuja,Government,Policy and Regulation,Government,Muhammad Mamman Nami,https://www.firs.gov.ng,helpdesk@firs.gov.ng​,9074444441,https://web.facebook.com/F.I.R.S.naija/?pnref=lhc&_rdc=1&_rdr,https://www.instagram.com/firs_nigeria/,,https://twitter.com/firsnigeria,"20 Revenue House, Sokode Crescent"
"Federal Ministry of Industry, Trade and Investment (FMITI)",Abuja,Government,Policy and Regulation,Government,Adeniyi Adebayo,http://nid.fmiti.gov.ng,info@fmiti.gov.ng,234 NIGERIA,https://web.facebook.com/FMITINigeria/?_rdc=1&_rdr,,,https://twitter.com/TradeInvestNG,Old Secretariat
"National Agency for Food and Drug, Administration and Control (NAFDAC)",Abuja,Government,Policy and Regulation,Government,Mojisola Adeyeye.,https://www.nafdac.gov.ng,nafdac@nafdac.gov.ng ,0700-1-623322,https://www.facebook.com/NafdacNigeria/,,,https://twitter.com/NafdacAgency,"Plot 2032, Olusegun, Obasanjo Way"
National Assembly,Abuja,Government,Policy and Regulation,Government,Ahmed Ibrahim Lawan,https://www.nassnig.org/#,info@nass.gov.ng,,,,https://www.linkedin.com/company/national-assembly-of-nigeria-nass/,https://twitter.com/nassnigeria,three Arms Zone
National Information Technology Development Agency (NITDA),Abuja,Government,Policy and Regulation,Government,Kashifu Inuwa Abdullahi,https://nitda.gov.ng,info@nitda.gov.ng,8168401851,https://www.facebook.com/nitda.nig/,,,https://twitter.com/NITDANigeria,"No 28, Porthacourt Crescent, off Gimbiya Street"
National Office for Technology Acquisition and Promotion (NOTAP),Abuja,Government,Policy and Regulation,Government,DR. DAN-AZUMI MOHAMMED IBRAHIM,https://www.notap.gov.ng,info@notap.gov.ng,9034776654,https://www.facebook.com/notap.desk,,,https://twitter.com/NOTAPdesk,"No 4, Blantyre Street Wuse II, off Adetokunbo Ademola Crescent"
Nigerian Export Promotion Council (NEPC),Abuja,Government,Policy and Regulation,Government,DanAzumi Mohammed Ibrahim,https://nepc.gov.ng,ceo@nepc.gov.ng,+234 (9) 462 1555,https://www.facebook.com/TheNEPC/,,,,"Plot 424, Aguiyi Ironsi Street"
Nigerian Investment Promotion Council (NIPC),Abuja,Government,Policy and Regulation,Government,Yewande Sadiku,https://nipc.gov.ng,infodesk@nipc.gov.ng,+234 (0)9 2900059,https://www.facebook.com/nipcng,https://www.instagram.com/nipc_ng/,,https://twitter.com/nipcng,"Plot 1181 , Aguiyi Ironsi Street"
