name,state,sector,ecosystem,sub_ecosystem,sub_ecosystem_sub_class,ceo_gender,ceo_name,website,email,phone,facebook,instagram,linkedin,twitter,address
Central Bank of Nigeria (CBN),Abuja,Public Sector,Policy and Regulation,Government,,Male,Godwin Emefiele,cbn.gov.ng,contactcbn@cbn.gov.ng,+234 700 225 5226,ttps://web.facebook.com/cenbankng/,,linkedin.com/in/central-bank-of-nigeria-68611917,twitter.com/cenbank,"Plot 33, Abubakar Tafawa Balewa Way"
Corporate Affairs Commission (CAC),Abuja,Public Sector,Policy and Regulation,Government,,Male,ALHAJI GARBA ABUBAKAR,cac.gov.ng,cservice@cac.gov.ng,234 809 552 1924,https://web.facebook.com/cacnigeria1,,https://www.linkedin.com/company/corporate-affairs-commission/,https://twitter.com/cacnigeria,"Plot 420, Tigris Crescent, Off Aguiyi Ironsi Street"
Enabling Business Environment Secretariat (EBES),Abuja,Public Sector,Policy and Regulation,Government,,Female,Dr. Jumoke Oduwole,https://easeofdoingbusinessnigeria.com,info@ebes.gov.ng,T +234 909 323 1541,http://facebook.com/EBESNigeria,http://instagram.com/EBESNigeria,https://www.linkedin.com/company/pebec-ebes-the-presidential-enabling-business-environment-council-nigeria/,https://twitter.com/EBESNigeria,"Plot No.1181, Aguiyi Ironsi Street"
Federal Inland Revenue Service (FIRS),Abuja,Public Sector,Policy and Regulation,Government,,Male,Muhammad Mamman Nami,https://www.firs.gov.ng,helpdesk@firs.gov.ng​,9074444441,https://web.facebook.com/F.I.R.S.naija/?pnref=lhc&_rdc=1&_rdr,https://www.instagram.com/firs_nigeria/,,https://twitter.com/firsnigeria,"20 Revenue House, Sokode Crescent"
"Federal Ministry of Industry, Trade and Investment (FMITI)",Abuja,Public Sector,Policy and Regulation,Government,,Male,Adeniyi Adebayo,http://nid.fmiti.gov.ng,info@fmiti.gov.ng,234 NIGERIA,https://web.facebook.com/FMITINigeria/?_rdc=1&_rdr,,,https://twitter.com/TradeInvestNG,Old Secretariat
"National Agency for Food and Drug, Administration and Control (NAFDAC)",Abuja,Public Sector,Policy and Regulation,Government,,Female,Mojisola Adeyeye.,https://www.nafdac.gov.ng,nafdac@nafdac.gov.ng ,0700-1-623322,https://www.facebook.com/NafdacNigeria/,,,https://twitter.com/NafdacAgency,"Plot 2032, Olusegun, Obasanjo Way"
National Assembly,Abuja,Public Sector,Policy and Regulation,Government,,Male,Ahmed Ibrahim Lawan,https://www.nassnig.org/#,info@nass.gov.ng,,,,https://www.linkedin.com/company/national-assembly-of-nigeria-nass/,https://twitter.com/nassnigeria,three Arms Zone
National Information Technology Development Agency (NITDA),Abuja,Public Sector,Policy and Regulation,Government,,Male,Kashifu Inuwa Abdullahi,https://nitda.gov.ng,info@nitda.gov.ng,8168401851,https://www.facebook.com/nitda.nig/,,,https://twitter.com/NITDANigeria,"No 28, Porthacourt Crescent, off Gimbiya Street"
National Office for Technology Acquisition and Promotion (NOTAP),Abuja,Public Sector,Policy and Regulation,Government,,Male,DR. DAN-AZUMI MOHAMMED IBRAHIM,https://www.notap.gov.ng,info@notap.gov.ng,9034776654,https://www.facebook.com/notap.desk,,,https://twitter.com/NOTAPdesk,"No 4, Blantyre Street Wuse II, off Adetokunbo Ademola Crescent"
Nigerian Export Promotion Council (NEPC),Abuja,Public Sector,Policy and Regulation,Government,,Male,DanAzumi Mohammed Ibrahim,https://nepc.gov.ng,ceo@nepc.gov.ng,+234 (9) 462 1555,https://www.facebook.com/TheNEPC/,,,,"Plot 424, Aguiyi Ironsi Street"
Nigerian Investment Promotion Council (NIPC),Abuja,Public Sector,Policy and Regulation,Government,,Female,Yewande Sadiku,https://nipc.gov.ng,infodesk@nipc.gov.ng,+234 (0)9 2900059,https://www.facebook.com/nipcng,https://www.instagram.com/nipc_ng/,,https://twitter.com/nipcng,"Plot 1181 , Aguiyi Ironsi Street"
Presidential Enabling Business Environment Council (PEBEC),Abuja,Public Sector,Policy and Regulation,Government,,Male,Prof. Yemi Osinbajo,http://www.pebec.gov.ng/,info@ebes.gov.ng,,https://www.facebook.com/EBESnigeria/,,,,"Plot 1181 , Aguiyi Ironsi Street"
Small and Medium Enterprise Development Agency of Nigeria (SMEDAN),Abuja,Public Sector,Policy and Regulation,Government,,Male,Dr. Dikko Umaru Radda,https://smedan.gov.ng, info@smedan.gov.ng,0807 132 0380,https://www.facebook.com/smedaninfo,,,https://twitter.com/smedaninfo,"No 35, Port Harcourt Crescent , Off Gimbiya Street"
Standards Organization of Nigeria (SON),Lagos,Public Sector,Policy and Regulation,Government,,Male,Mallam Farouk A. Salim,https://son.gov.ng,,0800 225 5766,https://www.facebook.com/sonnisnigeria/,,,https://twitter.com/sonnigeria?lang=en,Victoria Arobieke St
Lagos State Chambers of Commerce & Industry,Lagos,Public Sector,Policy and Regulation,Government,,Male,Muda Yusuf,https://www.lagoschamber.com,lcci@lagoschamber.com,(+234)1-277-1557,https://www.facebook.com/lagoschamber/,https://www.instagram.com/lagoschamber88/,,https://twitter.com/lagoschamber88,"No 1, Idowu Taylor Street"
Association of Micro Entrepreneurs in Nigeria (AMEN),Lagos,Private Sector,Policy and Regulation,Entrepreneurship Advocacy groups,,Male,Prince Saviour Iche,www.amenmicro.org,,8034754403,https://www.facebook.com/Amenigeria/,,,https://twitter.com/amennigeria,"No 503, Ikorodu Road, Ile-Ile bus stop"
Association of Small Business Owners of Nigeria (ASBON),Lagos,Private Sector,Policy and Regulation,Entrepreneurship Advocacy groups,,Male,Olufemi Egbesola,www.asbon.org,asbonoffice@yahoo.com,8032651424,,,,,"No 33, Abeokuta street, Anifowose"
"Nigerian Association of Chambers of Commerce, Industry, Mines and Agriculture (NACCIMA)",Lagos,Private Sector,Policy and Regulation,Entrepreneurship Advocacy groups,,Male,Ambassador Ayoola Olukanni,https://www.naccima.com,info@naccima.com,+234 811 8877 562,https://web.facebook.com/naccima30?_rdc=1&_rdr,,https://www.linkedin.com/company/naccima30/,https://twitter.com/naccima30,"8A, Oba Akinjobi Way, Ikeja GRA"
Nigerian Association of Small and Medium Enterprises (NASME),Lagos,Private Sector,Policy and Regulation,Entrepreneurship Advocacy groups,,Male,Prince Degun Agboade,https://nasmeonline.com,nasmenigeria2@gmail.com,7038711178,https://web.facebook.com/nasmengr/?_rdc=1&_rdr,,,https://twitter.com/nasmeng," 23A, Fatai Atere Way, Matori, Industrial Estate"
Nigerian Association of Small Scale Industrialists (NASSI),Abuja,Private Sector,Policy and Regulation,Entrepreneurship Advocacy groups,,Male,Ifeanyi Oputa,,info@nassi.org.ng,23480 361 30044,https://web.facebook.com/nassinig,https://www.instagram.com/nassinig/,,https://twitter.com/NASSINIG1,WAEC Building
Nigerian Economic Summit Group (NESG),Lagos,Private Sector,Policy and Regulation,Regulators,,Male,Laoye Jaiyeola,https://www.nesgroup.org,info@nesgroup.org,+234 1 2952849,https://www.facebook.com/officialNESG,https://www.instagram.com/officialNESG/,https://www.linkedin.com/company/the-nigerian-economic-summit-group/,https://twitter.com/officialNESG,"6, Oba Elegushi Street, off Oba Adeyinka Oyekan Avenue"
NECA’s Network of Entrepreneurial Women (NNEW),Lagos,Private Sector,Policy and Regulation,Entrepreneurship Advocacy groups,,Female,Funmilayo Arowoogun,https://www.nnew.org,"info@nnew.org ,",234 909 000 0189,https://www.facebook.com/NNEWabuja/,https://www.instagram.com/nnewabuja/?hl=en,https://www.linkedin.com/in/nnewomen/?originalSubdomain=ng,https://twitter.com/Neca_NNEW,"NECA House, Plot A2 Hakeem Balogun Street"
Commonwealth Alliance of Young Entrepreneurs (CAYE) West Africa,,Private Sector,Policy and Regulation,Entrepreneurship Advocacy groups,,,,http://cayewestafrica.org,cayewestafrica@gmail.com,,,,,,
Deloitte Nigeria,Lagos,Private Sector,Policy and Regulation,Regulators,,Male,Fatai Folarin,http://www.deloitte.com/ng,infonigeria@deloitte.com.ng,+234 1 904 1700,https://www.facebook.com/DeloitteNigeria/,https://www.instagram.com/deloittenigeria/?hl=en,https://www.linkedin.com/company/deloitte-nigeria,https://twitter.com/DeloitteNigeria?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,"Plot GA 1, Civic Towers, Ozumba Mbadiwe Avenue"
FATE Foundation,Lagos,Private Sector,Policy and Regulation,Regulators,,Male,Fola Adeola,http://www.fatefoundation.org,info@fatefoundation.org,234701 130 5444,https://www.facebook.com/FateFoundation/,https://www.instagram.com/fatefoundation,https://www.instagram.com/fatefoundation,https://twitter.com/FATEFoundation,"1st Floor, Lagos State Water Corporation, Water House,"
Lagos State Chambers of Commerce & Industry,Lagos,Public Sector,Policy and Regulation,Regulators,,Male,Muda Yusuf,https://www.lagoschamber.com,lcci@lagoschamber.com,(+234)1-277-1557,https://www.facebook.com/lagoschamber/,https://www.instagram.com/lagoschamber88/,,https://twitter.com/lagoschamber88,"No 1, Idowu Taylor Street"
Nigeria’s Employers Consultative Association (NECA),Lagos,Private Sector,Policy and Regulation,Regulators,,Male,Dr. Timothy Olawale,https://www.neca.org.ng,neca@neca.org.ng,01 342 2356,https://www.facebook.com/Nigemployers,,,https://twitter.com/necadotorg,"Plot A2, Hakeem Balogun Street"
Entrepreneurship Development Centre - Northeast,Borno,Public Sector,Training,Enterprise Support Organizations,,,,www.edcnortheast.com.ng,info@edcnortheast.com.ng,8065947021,,,,,"Old Informatics Institute, Njimtillo, Kano Road"
Entrepreneurship Development Centre - Southwest,Oyo,Public Sector,Training,Enterprise Support Organizations,,,,http://www.edcsouthwest.org/,info@edcsouthwest.org,+234 809 7314 264,https://www.facebook.com/cbnedcsw,,,https://twitter.com/CBN_EDCsw,"Old Social Development Training Centre, Along Sango-UI Road"
Entrepreneurship Development Centre - Southsouth,Cross River,Public Sector,Training,Enterprise Support Organizations,,,,https://ssedc.ng/,info@ssedc.org,7012823985,https://www.facebook.com/SSEDC/,https://www.instagram.com/southsouthedc/,https://www.linkedin.com/company/cbn-south-south-entrepreneurship-development-centre/,,"Prof.Eyo Ita House, Ndidem Usang Iso Road, Calabar"
"National Youth Service Corps (NYSC), Skills Acquisition and Entrepreneurship Development (SAED)",Abuja,Public Sector,Training,Enterprise Support Organizations,,Female,Nasamu Hilary A,https://www.nysc.gov.ng/saed.html,info@nysc.gov.ng,,https://web.facebook.com/officialnysc?_rdc=1&_rdr,https://www.instagram.com/officialnyscng/,,https://twitter.com/officialnyscng,"Plot 416, Tigris Crescent Off Aguiyi Ironsi Street"
Office for ICT Innovation & Entrepreneurship (OIIE),Abuja,Public Sector,Training,Enterprise Support Organizations,,Female,Dr Amina Sambo-Magaji,http://ictinnovation.gov.ng/,info@ictinnovation.gov.ng,+234 909 788 8885,,,,,"5, Donau crescent off, Amazon Street"
Small and Medium Enterprise Development Agency of Nigeria (SMEDAN),Abuja,Public Sector,Training,Enterprise Support Organizations,,Male,Dr. Dikko Umaru Radda,https://smedan.gov.ng, info@smedan.gov.ng,0807 132 0380,https://www.facebook.com/smedaninfo,,,https://twitter.com/smedaninfo,"No 35, Port Harcourt Crescent , Off Gimbiya Street"
Academy for Entrepreneurial Studies (AES),Lagos,Development Sector,Training,Enterprise Support Organizations,,Male,DR. AUSBETH NNAMDI AJAGU,www.aes-edu.net,info@aes-edu.net,01-7642280,https://web.facebook.com/ACADEMY-FOR-ENTREPRENEURIAL-STUDIES-NIGERIA-78782107633/,,,,"17, Alhaji Bashorun Street Off Norman Williams Street"
After School Graduate Development Centre (AGDC),Lagos,Development Sector,Training,Enterprise Support Organizations,,,,https://graddev.com,info@graddev.com,8178815176,https://web.facebook.com/agdcnigeria/?_rdc=1&_rdr,https://www.instagram.com/afterschool_dev/,,https://twitter.com/agdc_ng,"15, Providence House, First Floor,  Admiralty Way"
Centre for Entrepreneurial Development Lagos (CEDL),Lagos,Development Sector,Training,Enterprise Support Organizations,,,,https://www.cedl.org,enquiries@cedl.org,(+234) 803 300 1311,https://web.facebook.com/?_rdc=1&_rdr,,,,"36, Murtala Mohammed International Airport Road"
Empretec,Lagos,Development Sector,Training,Enterprise Support Organizations,,Male,Onari Bobmanuel Duke,http://empretecnigeriafoundation.org/,info@empretecnigeriafoundation.org,0803 236 0044,https://web.facebook.com/Empretec-Nigeria-Foundation-142547175757693/,,,https://twitter.com/empretecf,
FATE Foundation,Lagos,Development Sector,Training,Enterprise Support Organizations,,Male,Fola Adeola,http://www.fatefoundation.org,info@fatefoundation.org,234701 130 5444,https://www.facebook.com/FateFoundation/,https://www.instagram.com/fatefoundation,https://www.instagram.com/fatefoundation,https://twitter.com/FATEFoundation,"1st Floor, Lagos State Water Corporation, Water House,"
Generation Enterprise,,Development Sector,Training,Enterprise Support Organizations,,Male,Bunmi Otegbade,http://www.generationenterprise.org/,sayhello@generationenterprise.com,,,,,,
Growing Business Foundation,Lagos,Development Sector,Training,Enterprise Support Organizations,,Female,Ndidi Edozien,https://gbfng.org,info@gbfng.org,(+3) 1800 555 2626,https://web.facebook.com/growingbusinessesfoundation/?_rdc=1&_rdr,,,,"160, Bamgbose Street (Behind City Hall)"
